;НАЗВАНИЕ;РУБРИКА;ПОДРУБРИКА;РЕГИОН;ГОРОД;АДРЕС;ТЕЛЕФОНЫ;ФАКСЫ;СОТОВЫЕ ТЕЛЕФОНЫ;EMAIL;САЙТ;X;Y;ОПИСАНИЕ;ИНДЕКС;ПН;ПЕРЕРЫВ;ВТ;ПЕРЕРЫВ;СР;ПЕРЕРЫВ;ЧТ;ПЕРЕРЫВ;ПТ;ПЕРЕРЫВ;СБ;ПЕРЕРЫВ;ВС;ПЕРЕРЫВ;ОПЛАТА;ВАЛЮТА;СРЕДНИЙ ЧЕК;КУХНЯ;ДОПОЛНИТЕЛЬНО
9,85691E+14;Бархатовская, ОАО, птицефабрика;Продукты питания / Напитки;Мясо птицы / Полуфабрикаты;Красноярский край;Бархатово;Чкалова, 2Б;8(39175)94219;;;;;93.358017228495;56.049057451555;;662524;08:00-17:00;12:00-14:00;08:00-17:00;12:00-14:00;08:00-17:00;12:00-14:00;08:00-17:00;12:00-14:00;08:00-17:00;12:00-14:00;Выходной;;Выходной;;Наличный расчет, Без начиный расчет;RUB;;;
9,85691E+14;Бархатовская, ОАО, птицефабрика;Продукты питания / Напитки;Яйцо;Красноярский край;Бархатово;Чкалова, 2Б;8(39175)94219;;;;;93.358017228495;56.049057451555;;662524;08:00-17:00;12:00-14:00;08:00-17:00;12:00-14:00;08:00-17:00;12:00-14:00;08:00-17:00;12:00-14:00;08:00-17:00;12:00-14:00;Выходной;;Выходной;;Наличный расчет, Без начиный расчет;RUB;;;
7E+16;Березовский, сеть фирменных магазинов;Продукты питания / Напитки;Хлебобулочные изделия;Красноярский край;Берёзовка;Трактовая, 55а\3;;;;;;93.126390442728;56.02332519505;;662521;08:00-20:00;;08:00-20:00;;08:00-20:00;;08:00-20:00;;08:00-20:00;;08:00-20:00;;08:00-20:00;;Наличный расчет;RUB;;;
7E+16;Рыба от Стаса, магазин морепродуктов;Продукты питания / Напитки;Рыба / Морепродукты;Красноярский край;Берёзовка;Трактовая, 55а\3;;;;;;93.126390442728;56.02332519505;;662521;09:00-21:00;;09:00-21:00;;09:00-21:00;;09:00-21:00;;09:00-21:00;;09:00-21:00;;09:00-21:00;;Наличный расчет;RUB;;;
7E+16;Мясной магазин, ИП Прадедович Е.О.;Продукты питания / Напитки;Мясо / Полуфабрикаты;Красноярский край;Берёзовка;Строителей, 2а;8(391)2941513;;;;;93.14061751808;56.044628830402;;662520;09:00-20:00;;09:00-20:00;;09:00-20:00;;09:00-20:00;;09:00-20:00;;09:00-20:00;;09:00-20:00;;Наличный расчет;RUB;;;
7E+16;Березовский, сеть фирменных магазинов;Продукты питания / Напитки;Хлебобулочные изделия;Красноярский край;Берёзовка;Советская, 50а;8(391)2084680;;;;;93.142368157584;56.044967033417;;662520;08:00-20:00;;08:00-20:00;;08:00-20:00;;08:00-20:00;;08:00-20:00;;08:00-20:00;;08:00-20:00;;Наличный расчет;RUB;;;
7E+16;Вираж-II, продуктовый магазин;Продукты питания / Напитки;Рыба / Морепродукты;Красноярский край;Берёзовка;Пархоменко, 2 ст1;89831610317;;89831610317;;;93.137247967496;56.044994938877;;662520;07:00-23:00;;07:00-23:00;;07:00-23:00;;07:00-23:00;;07:00-23:00;;07:00-23:00;;07:00-23:00;;Наличный расчет;RUB;;;
7E+16;Ермолинские полуфабрикаты, магазин, пос. Березовка;Продукты питания / Напитки;Мясо / Полуфабрикаты;Красноярский край;Берёзовка;Дружбы, 2Б\1;;;;;;93.10745246589;56.037144368252;;662520;09:00-19:00;;09:00-19:00;;09:00-19:00;;09:00-19:00;;09:00-19:00;;09:00-19:00;;09:00-19:00;;Наличный расчет;RUB;;;
9,85691E+14;Командор, сеть супермаркетов;Торговые комплексы / Спецмагазины;Супермаркеты;Красноярский край;Берёзовка;Центральная, 6;8(391)2524586;;;info@sm-komandor.ru;http://sm-komandor.ru;93.125237507682;56.043013289005;Торговая сеть Командор (входит в группу компаний Командор) &ndash, один из самых крупнейших операторов на рынке розничной торговли Красноярского края и Хакасии. Образована в 1999 году. Развивает 3 формата розничной торговли: гипермаркет, супермаркет, магазин у дома. В составе сети 9 гипермаркетов Аллея, 80 супермаркетов и магазинов шаговой доступности Командор в 11 городах Красноярского края и республики Хакасия, предлагающих широкий выбор свежих продуктов питания и качественных сопутствующих товаров в комфортной обстановке и по хорошим ценам.,micro_comment:Территория присутствия  Красноярский край и Хакасия,sponsored_article:{title:Торговая сеть Командор,text:Территория присутствия  Красноярский край и Хакасия},filial_group:985699289401478,lo;662520;08:00-00:00;;08:00-00:00;;08:00-00:00;;08:00-00:00;;08:00-00:00;;08:00-00:00;;08:00-00:00;;Наличный расчет, Visa, Mastercard;RUB;;;
9,85691E+14;Березовский, супермаркет;Торговые комплексы / Спецмагазины;Супермаркеты;Красноярский край;Берёзовка;Кирова, 73;8(39175)21237;;;;;93.126740897291;56.035319241556;;662520;09:00-21:00;;09:00-21:00;;09:00-21:00;;09:00-21:00;;09:00-21:00;;09:00-21:00;;09:00-21:00;;Наличный расчет;RUB;;;
